timestamp,ICMP loss,ICMP ping,ICMP response time,B12_ Bits_ received,B12_ Bits_ sent,B12_Duplex_ status,B12_ Inbound_ packets_ discarded,B12_ Inbound_ packets_ with_ errors,B12_Interface_ type,B12_ Operational_ status,B12_Outbound_ packets_ discarded,B12_Outbound_ packets_ with_ errors,B12_ Speed,B13_ Bits_ received,B13_ Bits_ sent,B13_ Duplex_ status,B13_ Inbound_ packets_ discarded,B13_ Inbound_ packets_ with_ errors,B13_ Interface type,B13_ Operational_ status,B13_ Outbound_ packets_ discarded,B13_Outbound_ packets_ with_ errors,B13_Speed,C3_ Bits_ received,C3_ Bits_ sent,C3_ Duplex_ status,C3_ Inbound_ packets_ discarded,C3_ Inbound_ packets_ with_ errors,C3_ Interface_ type,C3_Operational_ status,C3_ Outbound_ packets_ discarded,C3_ Outbound_ packets_ with_ errors,C3_ Speed,B14_Bits_ received,B14_ Bits_ sent,B14_Inbound_ packets_ discarded,B14_Inbound_ packets_ with_ errors,B14_Interface_ type,B14_ Operational_ status,B14_ Outbound_ packets_ discarded,B14_ Outbound_ packets_ with_ errors,B14_ Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1761833160,100,0,0,125,168,2,0,0,6,1,0,0,10000000,120,173,2,0,0,6,1,0,0,10000000,38144,1065536,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27327,H,CORE-R6,5,3,1,1
1761833220,100,0,0,136,176,2,0,0,6,1,0,0,10000000,120,184,2,0,0,6,1,0,0,10000000,38856,1087584,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27406,H,CORE-R6,5,3,1,1
1761833280,100,0,0,125,171,2,0,0,6,1,0,0,10000000,115,176,2,0,0,6,1,0,0,10000000,38717,1081608,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27447,H,CORE-R6,5,3,1,1
1761833340,100,0,0,115,165,2,0,0,6,1,0,0,10000000,109,168,2,0,0,6,1,0,0,10000000,38579,1075632,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27507,H,CORE-R6,5,3,1,1
1761833400,100,0,0,104,160,2,0,0,6,1,0,0,10000000,104,160,2,0,0,6,1,0,0,10000000,38440,1069656,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27571,H,CORE-R6,5,3,1,1
1761833460,100,0,0,109,163,2,0,0,6,1,0,0,10000000,112,165,2,0,0,6,1,0,0,10000000,37363,1042549,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27625,H,CORE-R6,5,3,1,1
1761833520,100,0,0,115,165,2,0,0,6,1,0,0,10000000,120,171,2,0,0,6,1,0,0,10000000,36285,1015443,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27687,H,CORE-R6,5,3,1,1
1761833580,100,0,0,120,168,2,0,0,6,1,0,0,10000000,128,176,2,0,0,6,1,0,0,10000000,35208,988336,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27761,T,CORE-R6,5,3,1,1
1761833640,100,0,0,125,173,2,0,0,6,1,0,0,10000000,125,168,2,0,0,6,1,0,0,10000000,35611,990301,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27808,T,CORE-R6,5,3,1,1
1761833700,100,0,0,131,179,2,0,0,6,1,0,0,10000000,123,160,2,0,0,6,1,0,0,10000000,36013,992267,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27867,T,CORE-R6,5,3,1,1
1761833760,100,0,0,136,184,2,0,0,6,1,0,0,10000000,120,152,2,0,0,6,1,0,0,10000000,36416,994232,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27938,T,CORE-R6,5,3,1,1
1761833820,100,0,0,131,176,2,0,0,6,1,0,0,10000000,120,163,2,0,0,6,1,0,0,10000000,36912,999437,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,27989,T,CORE-R6,5,3,1,1
1761833880,100,0,0,125,168,2,0,0,6,1,0,0,10000000,120,173,2,0,0,6,1,0,0,10000000,37408,1004643,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28047,T,CORE-R6,5,3,1,1
1761833940,0,1,0.0549,120,160,2,0,0,6,1,0,0,10000000,120,184,2,0,0,6,1,0,0,10000000,37904,1009848,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28106,H,CORE-R6,5,3,1,1
1761834000,100,0,0,128,173,2,0,0,6,1,0,0,10000000,131,192,2,0,0,6,1,0,0,10000000,38243,1001269,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28167,T,CORE-R6,5,3,1,1
1761834060,100,0,0,136,187,2,0,0,6,1,0,0,10000000,141,200,2,0,0,6,1,0,0,10000000,38581,992691,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28227,T,CORE-R6,5,3,1,1
1761834120,100,0,0,144,200,2,0,0,6,1,0,0,10000000,152,208,2,0,0,6,1,0,0,10000000,38920,984112,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,28296,T,CORE-R6,5,3,1,1
